"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Mode_of_Transport","Value","Value_Type","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Surface Rail","25","Trips per person per year","2423","1987","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Taxi / minicab","6","Trips per person per year","614","523","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Asian / Asian British","ONS 2011 5+1","Walk","242","Trips per person per year","23931","19776","5151","4717",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","All modes","826","Trips per person per year","38298","34337","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bicycle","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Bus in London","164","Trips per person per year","7583","6979","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van driver","198","Trips per person per year","9155","8131","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Car / van passenger","124","Trips per person per year","5745","5379","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","London Underground","27","Trips per person per year","1254","1100","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other local bus","49","Trips per person per year","2277","1990","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Surface Rail","30","Trips per person per year","1413","1223","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Taxi / minicab","8","Trips per person per year","380","338","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","Walk","209","Trips per person per year","9664","8452","2416","2316",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","All modes","908","Trips per person per year","23974","21107","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bicycle","14","Trips per person per year","369","304","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Bus in London","65","Trips per person per year","1728","1464","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van driver","168","Trips per person per year","4427","3820","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Car / van passenger","245","Trips per person per year","6481","6197","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","London Underground","17","Trips per person per year","441","303","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other local bus","52","Trips per person per year","1385","1239","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Surface Rail","24","Trips per person per year","643","553","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Taxi / minicab","15","Trips per person per year","407","334","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","Walk","296","Trips per person per year","7812","6643","1377","1290",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","All modes","836","Trips per person per year","16591","14016","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bicycle","21","Trips per person per year","421","322","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Bus in London","79","Trips per person per year","1575","1298","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van driver","202","Trips per person per year","4011","3566","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Car / van passenger","134","Trips per person per year","2666","2568","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","London Underground","46","Trips per person per year","912","690","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Motorcycle ","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Non-local bus","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other local bus","44","Trips per person per year","879","699","1035","944",""
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other private transport","?","Trips per person per year","?","?","?","?","Suppresed"
"Average trips per year by mode of transport","2007/11","5-year rolling average","Other ethnic group","ONS 2011 5+1","Other public transport","?","Trips per person per year","?","?","?","?","Suppresed"
