"Measure","Income bracket","Time","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","1","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","~","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Bangladeshi","ONS 5+3","K02000002","1","228"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","~","228"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","25","228"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","30","228"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","16","228"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","10","228"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Bangladeshi","ONS 5+2","K02000001","10","228"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","5","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","4","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","1","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","3","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","30","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","19","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","13","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","10","1,355"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","12","1,355"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","6","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","6","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","6","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","2","213"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","4","213"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","18","213"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","17","213"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","14","213"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","8","213"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Chinese","ONS 5+2","K02000001","16","213"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","9","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","7","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","3","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Indian","ONS 5+2","K02000001","8","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","16","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","19","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","15","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Indian","ONS 5+2","K02000001","10","1,047"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Indian","ONS 5+2","K02000001","6","1,047"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","7","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","4","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","1","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","2","491"
"Average weekly household income by ethnic group of the head of the household","GBP 2,000 or more ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","3","491"
"Average weekly household income by ethnic group of the head of the household","GBP 200 or more, but less than GBP 400 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","27","491"
"Average weekly household income by ethnic group of the head of the household","GBP 400 or more, but less than GBP 600 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","20","491"
"Average weekly household income by ethnic group of the head of the household","GBP 600 or more, but less than GBP 800 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","16","491"
"Average weekly household income by ethnic group of the head of the household","GBP 800 or more, but less than GBP 1,000 ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","10","491"
"Average weekly household income by ethnic group of the head of the household","Less than GBP 200  ","2010/11-2012/13","Mixed/ Multiple ethnic groups","ONS 5+2","K02000001","9","491"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200 ","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","6","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400 ","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","3","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,400 or more, but less than GBP 1,600 ","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","2","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,600 or more, but less than GBP 1,800 ","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","2","600"
"Average weekly household income by ethnic group of the head of the household","GBP 1,800 or more, but less than GBP 2,000 ","2010/11-2012/13","Other ethnic group","ONS 5+2","K02000001","1","600"
